municipio,categoria_zona,es_ruido,fecha_publicacion,titulo,url,tags,keywords_match,fragmento
Mercedes,volumen_alto,no,01/11/2025,Decreto Nº2019/2025 en el boletín 97º de Mercedes,https://sibom.slyt.gba.gob.ar/bulletins/13737/contents/2298632,adjudicacion | licitacion privada 25,"cubierta,cubiertas,neumatico,neumaticos",".- $ 3,200,000 MHR NEUMATICOS SRL ... […] .- $ 460,000 LAROCCA NEUMATICOS SA ... […] LAROCCA NEUMATICOS SA $ 900,934.00 $ 1,801 ..."
Moreno,objetivo,no,16/10/2025,Decreto Nº2420/25 en el boletín 308º de Moreno,https://sibom.slyt.gba.gob.ar/bulletins/13614/contents/2291258,,camaras y llantas,"Adjudíquese al Concurso de Precios N° 166/2025, realizado para la adquisición de “Cubiertas, Llantas , Protectoras y Cámaras para Vehículos Municipales” solicitada por la Secretaria de Obras y Servicios Públicos, a la oferta correspondiente ..."
Mercedes,volumen_alto,no,03/10/2025,Decreto Nº1809/2025 en el boletín 96º de Mercedes,https://sibom.slyt.gba.gob.ar/bulletins/13529/contents/2283795,llamado licitacion | privada 25,"cubierta,cubiertas","La necesidad manifestada por la Subsecretaría de Servicios Públicos según Solicitud de Pedido n° 5991 de proveer de un stock mínimo de cubiertas para vehículos, que le permitan cubrir los requerimientos operativos ... […] 4 CUBIERTA 12-4-24 ... […] .- 2 2 CUBIERTA 1300 ..."
Bahia Blanca,volumen_alto,no,26/09/2025,Resolución Nº1253 en el boletín 465º de Bahia Blanca,https://sibom.slyt.gba.gob.ar/bulletins/13501/contents/2286479,,recapado,"el rubro de VENTA DE CUBIERTAS NUEVAS Y RECAPADAS - SERVICIO DE ALINEACION Y BALANCEO - REPARACION DE NEUMATICOS , en el domicilio de la calle VIEYTES Nº 1864 de la Localidad de Bahía Blanca, y; CONSIDERANDO ... […] NEUMATICOS S. A. con CUIT 30-71750912-5, contribuyente Nº 93.778, para desarrollar actividades bajo el rubro VENTA DE CUBIERTAS NUEVAS Y RECAPADAS - SERVICIO DE ALINEACION Y BALANCEO - REPARACION DE NEUMATICOS ..."
Chivilcoy,volumen_alto,no,19/09/2025,Decreto Nº1462 en el boletín 107º de Chivilcoy,https://sibom.slyt.gba.gob.ar/bulletins/13436/contents/2282011,,gomeria,"que se debe proceder a su promulgación en tiempo y forma ... […] la Ordenanza N°10906 sancionada por el Honorable Concejo Deliberante en la sesión pública ordinaria realizada el día 14 de agosto de 2025 , por la cual se otorga la excepción solicitada de uso de suelo sobre inmueble, para su posterior habilitación de gomería , y ... […] el inmueble identificado catastralmente como: Circunscripción XVIII, Sección B, Manz 139, Parc 5, a nombre de Ramon Adolfo Rodríguez sito en calle A. Brown N°144, para su posterior habilitación de gomería . Expte Int 1554 H ..."
Saladillo,volumen_alto,no,18/09/2025,Decreto Nº327/2025 en el boletín 114º de Saladillo,https://sibom.slyt.gba.gob.ar/bulletins/13337/contents/2267161,,gomeria,"el personal afectado a las tareas de gomería insuficiente para cubrir tal demanda; QUE en ésta época del año se incrementan los servicios de traslados ... […] y Servicios Públicos y de la Secretaría de Obras y Servicios Públicos –área a la que pertenece la primera-, para llevar a cabo trabajos de gomería en el Corralón Municipal, y contratar dichos servicios ... […] la nota presentada por la Subsecretaria de Obras y Servicios Públicos, Arq. Anabella Soledad Fasano, en la que manifiesta la necesidad de contar con personal para realizar trabajos de gomería en el Corralón Municipal; y ..."
Lujan,objetivo,no,14/09/2025,Decreto Nº533 en el boletín 77º de Lujan,https://sibom.slyt.gba.gob.ar/bulletins/13465/contents/2276625,,recauchutaje,"Que el presente se dicta en ejercicio de las facultades que se derivan del artículo 108 inciso 2 de la Ley Orgánica de las Municipalidades de la Provincia de Buenos Aires. Por ello ... […] Que el Honorable Concejo Deliberante, en su Sesión de fecha 25 de marzo de 2025 ha sancionado la ORDENANZA Nº8744 ... […] EX-2024-00063826- -MUNILUJAN-SOI - Promulgación Ordenanza N°8744 Modificaciones C.O.U ..."
General Alvear,volumen_alto,no,01/09/2025,Decreto Nº306/2025 en el boletín 77º de General Alvear,https://sibom.slyt.gba.gob.ar/bulletins/13404/contents/2272293,,"neumatico,neumaticos","VISTO: El Expediente Nº: 4039-17204/2025, referente a: “COMPRA DE 12 (DOCE) NEUMÁTICOS 255/70/16 PARA CAMIONETA, 12 (DOCE) NEUMÁTICOS CON TACO PARA CAMIONETA 265/65/17, 4 (CUATRO) NEUMÁTICOS PARA AUTO 205/55/16 TIPO ... […] MARCAS FATE/BRIDGESTONE/PIRELLI, 2 (DOS) NEUMÁTICOS PARA CAMIONETA (AMBULANCIA) 225/75/16 MARCA MICHELIN, 4 (CUATRO) NEUMÁTICOS PARA CAMIONETA (AMBULANCIA) 205/75/16 MARCA PIRELLI Y 4 (CUATRO) CUBIERTAS PARA MOTONIVELADORA DIMENSIÓN 1400X 24 12 O 14 ..."
Bahia Blanca,volumen_alto,no,12/08/2025,Resolución Nº165 en el boletín 459º de Bahia Blanca,https://sibom.slyt.gba.gob.ar/bulletins/13163/contents/2254447,,camaras y llantas,", al bajarme de mi vehículo tenía la rueda delantera izquierda prácticamente en llanta . (...) Acto seguido, retrocedo caminando hacia el lugar donde había tenido el impacto. Para mi sorpresa me encuentro con un pozo cubierto de agua en su totalidad ... […] , el mismo parecía ser de grande dimensión y profundidad (...) tenía la llanta de la rueda trasera izquierda en llanta , debiendo salir a conseguir alguien que me prestara una cubierta de auxilio atento a que la que contaba mi auto la había colocado ..."
Nueve de Julio,volumen_alto,no,05/08/2025,Resolución Nº18/2025 en el boletín 111º de Nueve de Julio,https://sibom.slyt.gba.gob.ar/bulletins/13074/contents/2254501,denuncia,"neumatico,neumaticos,recapado","Que el denunciante manifiesta haber adquirido en la firma denunciada, dos neumáticos que presentaron desperfectos: uno de ellos revienta, y el otro se abre a la altura de la llanta. Relata además que los mismos eran viejos y que tenían fecha ... […] de vencimiento 03/2017. Que el denunciante tiene como pretensión la reposición de los neumáticos defectuosos. Que se fijó la Audiencia de Conciliación el día 14 de octubre de 2021 a las 9:30 horas, contando con la comparecencia ... […] del denunciante y la incomparecencia de la denunciada Neumáticos Centro, quien se encontraba debidamente notificad"
General Alvear,volumen_alto,no,11/07/2025,Decreto Nº259 en el boletín 74º de General Alvear,https://sibom.slyt.gba.gob.ar/bulletins/13101/contents/2246627,,"neumatico,neumaticos","Que los montos que presupuestan aconsejan la realización de un concurso de precios ... […] El Expediente Nº: 4039-17204/2025, referente a: “COMPRA DE 12 (DOCE) NEUMÁTICOS 255/70/16 PARA CAMIONETA, 12 (DOCE) NEUMÁTICOS CON TACO PARA CAMIONETA 265/65/17, 4 (CUATRO) NEUMÁTICOS PARA AUTO 205/55/16 TIPO MARCAS FATE/BRIDGESTONE/PIRELLI, 2 ... […] (DOS) NEUMÁTICOS PARA CAMIONETA (AMBULANCIA) 225/75/16 MARCA MICHELIN, 4 (CUATRO) NEUMÁTICOS PARA CAMIONETA (AMBULANCIA) 205/75/16 MARCA PIRELLI Y 4 (CUATRO) CUBIERTAS PARA MOTONIVELADORA DIMENSIÓN 1400X 24 12 O 14 TELAS, con destino a: policía Comunal ..."
General Alvear,volumen_alto,no,11/07/2025,Decreto Nº260 en el boletín 74º de General Alvear,https://sibom.slyt.gba.gob.ar/bulletins/13101/contents/2246632,,"neumatico,neumaticos","Que es necesario constituir una Comisión Especial Evaluadora para una correcta adjudicación ... […] El Concurso de Precio Nº 05/2025 (Expediente Nº: 4039-17204/2025), referente a: “COMPRA DE 12 (DOCE) NEUMÁTICOS 255/70/16 PARA CAMIONETA, 12 (DOCE) NEUMÁTICOS CON TACO PARA CAMIONETA 265/65/17, 4 (CUATRO) NEUMÁTICOS ... […] PARA AUTO 205/55/16 TIPO MARCAS FATE/BRIDGESTONE/PIRELLI, 2 (DOS) NEUMÁTICOS PARA CAMIONETA (AMBULANCIA) 225/75/16 MARCA MICHELIN, 4 (CUATRO) NEUMÁTICOS PARA CAMIONETA (AMBULANCIA) 205/75/16 MARCA PIRELLI Y 4 (CUATRO) CUBIERTAS PARA MOTONIVELADORA ..."
General San Martín,objetivo,no,13/06/2025,Decreto Nº00236/25 en el boletín 1994º de General San Martín,https://sibom.slyt.gba.gob.ar/bulletins/12925/contents/2230683,cubierta | playon,"cubierta,cubiertas","Aprobando Licitacion Pública Nº 01/25 "" CUBIERTA PLAYON DEPORTIVO PARQUE JOSE HERNANDEZ ETAPA 2"".- ..."
General Viamonte,volumen_alto,no,11/06/2025,Licitación Nº08/2025 en el boletín 333º de General Viamonte,https://sibom.slyt.gba.gob.ar/bulletins/12920/contents/2230253,,"cubierta,cubiertas","MIL SETECIENTOS.-) POR OBJETO: OBJETO 1: 2 Cubiertas 15/6.00 X 6 P/tractor cespedero ... […] OBJETO 2: 2 Cubiertas 650/16 - con taco - 8 telas mínimo ... […] $ 266.820,00 OBJETO 3: 2 Cubiertas 1000 X 16 - 10 telas mínimo ..."
General Viamonte,volumen_alto,no,03/06/2025,Licitación Nº08/2025 en el boletín 332º de General Viamonte,https://sibom.slyt.gba.gob.ar/bulletins/12906/contents/2229381,,"cubierta,cubiertas",".-) POR OBJETO: OBJETO 1: 2 Cubiertas 15/6.00 X 6 P/tractor cespedero ... […] OBJETO 2: 2 Cubiertas 650/16 - con taco - 8 telas mínimo ... […] $ 266.820,00 OBJETO 3: 2 Cubiertas 1000 X 16 - 10 telas mínimo ..."
General San Martín,objetivo,no,15/05/2025,Decreto Nº00163/25 en el boletín 1989º de General San Martín,https://sibom.slyt.gba.gob.ar/bulletins/12699/contents/2213459,cubiertas,"cubierta,cubiertas",Declarando desierto el primer llamado a Concurso de Precios Nº 83 y efectuando segundo llamado de apertura ref. adquisición de CUBIERTAS .- ...
General Villegas,volumen_alto,no,09/05/2025,Ordenanza Nº6635/24 en el boletín 172º de General Villegas,https://sibom.slyt.gba.gob.ar/bulletins/12618/contents/2213018,ord 6635 tributaria 2025,recapado,"VISTO: El Expediente Nº 12324/24, iniciado ... […] 71400-09 Gomerías, vulcanización, recapado , etc ... […] $ 2,437.99 71400-09 Gomerías, vulcanización, recapado , etc ..."
General Villegas,volumen_alto,no,09/05/2025,Ordenanza Nº00 en el boletín 172º de General Villegas,https://sibom.slyt.gba.gob.ar/bulletins/12618/contents/2214565,preparatoria tributaria 2025,recapado,"VISTO: El Expediente Nº 12324/24, iniciado por la Directora de Rentas, elevando el proyecto de ordenanza ... […] $8,000 71400-09 Gomerías, vulcanización, recapado , etc ... […] Gomerías, vulcanización, recapado , etc. $ 2,844.22 71400 ..."
General Villegas,volumen_alto,no,09/05/2025,Ordenanza Nº6633/24 en el boletín 172º de General Villegas,https://sibom.slyt.gba.gob.ar/bulletins/12618/contents/2212999,ord 6633 reg volunt camaras seguridad,camaras y llantas,"del Municipio, resulta conveniente incorporar nuevas cámaras . Que, la coordinación entre el Estado y los Privados en el uso de los recursos disponibles, y de manera estratégica, brinda un beneficio general ... […] a la sociedad en su conjunto, sin requerir gastos adicionales al Estado. Que, los particulares propietarios de cámaras de vigilancia proporcionarán la información en forma voluntaria, inscribiéndose en un registro ... […] que se creará a tal efecto. Que, incorporando cámaras no municipales al sistema de monitoreo se lograría evitar zonas ciegas en la vía pública que impidan localiza"
Mercedes,volumen_alto,no,22/04/2025,Decreto Nº573/2025 en el boletín 90º de Mercedes,https://sibom.slyt.gba.gob.ar/bulletins/12530/contents/2204191,adjudicacion | concurso precios 26,"cubierta,cubiertas","Que, a partir de la necesidad manifestada por la Subsecretaría de Servicios Públicos según Solicitud de Pedido n° 1806, se arbitraron los medios necesarios para lograr la convocatoria de oferentes en relación alConcurso ... […] Lo actuado por Gestión Documental Electrónica (GDE) en el EX-2025-00017984caratulado “Concurso de precios n° 26/2025- Adquisición de cubiertas ”, y; ... […] cuatrocientoscon 00/100 centavos), la compra de cubiertas , según las especificaciones técnicas contenidas en el pliego de bases y condiciones, específicamente ..."
